SKU,Product_Name,Product_Description,Product_Price,Promo_Price,Stock_Quantity,Product_Type,Brand,Brand_Name
APP0426,Apple iPod nano 16Gb Silver,Music player iPod nano 7 Generation 16GB silver.,179.0,,0,11821715,APP,Apple
APP0427,Apple iPod nano 16Gb purple,Music player iPod nano 7 Generation 16GB purple.,179.0,,0,11821715,APP,Apple
APP0428,Apple iPod nano 16Gb pink,Music player iPod nano 16GB 7 Generation rose.,179.0,,0,11821715,APP,Apple
APP0429,Apple iPod nano 16Gb yellow,Music player iPod nano 7 Generation 16GB yellow.,179.0,,0,11821715,APP,Apple
APP0430,Apple iPod nano 16Gb Green,Music player iPod nano 16GB 7 Generation Green.,179.0,,0,11821715,APP,Apple
APP0431,Apple iPod nano 16Gb Blue,Music player iPod nano 7 Generation 16GB blue.,179.0,,0,11821715,APP,Apple
APP0434,Apple 5W USB power adapter iPhone and iPod,USB Power Adapter 5W 1A for iPhone iPod and Apple Watch.,25.0,240.004,1,14365395,APP,Apple
APP0435,Apple Lightning to 30-pin adapter iPhone 5 / 5S iPad mini and iPod,Lightning connector adapter 30-pin iPhone 5 / 5S and 5G iPod Touch Nano 7G (02m).,45.0,409.996,0,14365395,APP,Apple
APP0436,Apple Lightning adapter to 30-pin connector,Lightning adapter connector 30-pin iPhone 5 iPod Touch 5 iPod Nano 7.,35.0,330.003,0,14365395,APP,Apple
APP0437,Apple EarPods headset with microphone connector Jack iPad and iPod,IPhone iPad and iPod headphones with microphone and remote.,35.0,330.003,1,5384,APP,Apple
APP0438,Apple Lightning connector cable to USB 1m White,Lightning USB cable 1 meter to charge and sync iPhone iPad and iPod.,25.0,229.997,1,1230,APP,Apple
APP0483,Apple Lightning to VGA Adapter,Lightning connector adapter to VGA.,59.0,550.006,0,1230,APP,Apple
APP0464,Apple adapter 12 W USB iPhone iPod and iPad,USB Power Adapter 12 W for iPhone iPad and iPod.,25.0,240.004,1,5395,APP,Apple
APP0474,"Apple 60W MagSafe 2 charger MacBook Pro Retina Display 13 """,MagSafe charger 2 of 60 W (MD565Z / A).,89.0,850.001,0,13005399,APP,Apple
APP0481,Apple Lightning to USB adapter for cameras,Lightning connector adapter USB camera (MD821ZM / A).,35.0,330.003,0,5395,APP,Apple
APP0482,Adapter Apple Lightning to SD Card Reader,Lightning connector adapter to SD card reader (MD822ZM / A).,35.0,330.003,0,5395,APP,Apple
APP0484,Apple Digital AV Adapter to Lightning,Lightning adapter connector to digital AV (MD826ZM / A).,59.0,550.006,1,5395,APP,Apple
APP0498,Apple Lightning connector cable to USB 50cm,Lightning to USB Cable for iPhone 5 iPad mini iPad 4 / Air iPod Touch 5 iPod Nano 7.,25.0,229.997,0,1230,APP,Apple
APP0504,Adapter Apple Lightning to Micro USB connector,Lightning connector adapter to Micro USB (MD820ZM).,25.0,240.004,0,5395,APP,Apple
APP0529,Apple Airport Extreme Base Station,Base station with Wi-Fi 802.11ac technology.,219.0,,0,1334,APP,Apple
APP0530,Apple AirPort Time Capsule 2TB,Base Airport 802.11ac Wi-Fi and 2TB hard drive.,329.0,,0,11935397,APP,Apple
APP0531,Apple AirPort Time Capsule 3TB,Base Airport 802.11ac Wi-Fi and 3TB hard drive.,429.0,,0,11935397,APP,Apple
APP0647,Apple Smart Case iPad Air Case Black,Smart leather case for your iPad Air.,89.0,799.931,0,12635403,APP,Apple
APP0675,Apple iPhone 5S 32GB Space Gray,New Free iPhone 5S 32GB (ME435Y / A).,559.0,,0,,APP,Apple
APP0662,IMac AppleCare Protection Plan,Apple Care extended warranty for iMac.,179.0,,1,1231,APP,Apple
APP0665,AppleCare Protection Plan Mac mini,Apple Care extended warranty Mac Mini.,89.0,789.997,1,1231,APP,Apple
APP0666,AppleCare Protection MacBook Pro 15,Apple Care extended warranty MacBook Pro 15-inch and 15-inch MacBook Pro Retina,349.0,,1,1231,APP,Apple
APP0667,AppleCare Protection for Apple TV,Apple Care extended warranty AppleTV.,29.0,260.005,0,1231,APP,Apple
APP0668,AppleCare Protection Plan Apple Display,Apple Care extended warranty Display.,99.0,989.998,0,1231,APP,Apple
APP0663,"AppleCare Protection Plan MacBook / Air / Pro 13 """,Apple Care extended warranty Macbook Air / Macbook / Macbook Pro 13-inch.,249.0,,1,1231,APP,Apple
APP0697,OEM USB Cable for iPhone iPad Dock and Apple iPod White Compatible,Cable OEM dock for iPhone iPad and iPod compatible USB Apple (unboxed),25.0,69.902,1,1230,APP,Apple
APP0698,Apple Lightning Cable Connector to USB 1m White (OEM),Apple Lightning USB Cable 1 meter to charge and sync iPhone iPad and iPod,25.0,99.898,1,1230,APP,Apple
APP0702,"60W MagSafe charger Apple MacBook and MacBook Pro 13 ""(OEM)",Charger 60W MagSafe unboxed for MacBook and MacBook Pro 13-inch,89.0,649.903,1,13005399,APP,Apple
APP0703,"85W MagSafe charger Apple MacBook Pro 15 ""/ 17"" (OEM)",Apple MagSafe Power Charger 85W MacBook Pro unboxed,89.0,649.903,1,13005399,APP,Apple
APP0718,Apple Thunderbolt Cable 2m Black,Cable Mac Apple Thunderbolt 2m.,45.0,40.99,0,1325,APP,Apple
APP0735,Apple Thunderbolt Cable 0.5m White,Thunderbolt Cable 0.5m Apple Mac.,35.0,330.003,0,1325,APP,Apple
APP0664,AppleCare Mac Pro,Apple Care extended warranty Mac Pro.,249.0,,0,1231,APP,Apple
APP0823,Apple iPhone 6 16GB Silver,New iPhone 6 16GB Free (MG482QL / A).,639.0,639.001,0,,APP,Apple
APP0829,Apple iPhone 6 Plus 16GB Silver,New iPhone 6 Plus 16G Free (MGA92QL / A).,749.0,,0,,APP,Apple
APP0822,Apple iPhone 6 16GB Space Gray,New iPhone 6 16GB Free (MG472QL / A).,639.0,639.001,0,,APP,Apple
APP0825,Apple iPhone 6 64GB Space Gray,New iPhone 6 64GB Free (MG4F2QL / A).,749.0,,0,,APP,Apple
APP0826,Apple iPhone 6 64GB Silver,New iPhone 6 64GB Free (MG4H2QL / A).,749.0,,0,,APP,Apple
APP0828,Apple iPhone 6 Plus 16GB Space Gray,New 16GB iPhone 6 Plus Free (MGA82QL / A).,749.0,,0,,APP,Apple
APP0832,Apple iPhone 6 Plus Case White,Ultrathin silicone case and microfiber premium.,39.0,389.995,0,11865403,APP,Apple
APP0834,Apple iPhone 6 Plus Case Blue,Ultrathin silicone case and microfiber premium.,39.0,329.894,0,11865403,APP,Apple
APP0835,Apple iPhone 6 Plus Case Rosa,Ultrathin silicone case and microfiber premium.,39.0,389.995,0,11865403,APP,Apple
APP0836,Apple iPhone 6 Plus Case Green,Ultrathin silicone case and microfiber premium.,39.0,389.995,0,11865403,APP,Apple
APP0840,Apple iPhone 6 Plus Leather Case Black,Case premium leather.,49.0,429.913,0,11865403,APP,Apple
APP0841,Apple iPhone 6 Plus Leather Case Red,Case premium leather.,49.0,419.894,0,11865403,APP,Apple
APP0844,Apple iPhone 6 Leather Case Rosa,Leather Case for iPhone 6 premium.,45.0,449.999,0,11865403,APP,Apple
APP0856,Apple iPhone 6 128GB Gold,New Free iPhone 6 128GB (MG4E2QL / A).,899.0,,0,,APP,Apple
APP0857,Apple iPhone 6 Plus 64GB Space Gray,New iPhone 6 Plus 64GB Free (MGAH2QL / A).,859.0,,0,,APP,Apple
APP0858,Apple iPhone 6 Plus 64GB Silver,New 64GB iPhone 6 Plus Free (MGAJ2QL / A).,859.0,,0,,APP,Apple
APP0860,Apple iPhone 6 Plus 128GB Space Gray,iPhone 6 Plus 128GB Free (MGAC2QL / A).,999.0,,0,,APP,Apple
APP0863,Apple iPad Air 2 Wi-Fi 16GB Space Gray,New iPad Air 2 Wi-Fi 16GB (MGL12TY / A).,429.0,,0,12141714,APP,Apple
APP0899,Apple Mac mini Core i5 14GHz | 4GB RAM | 500GB HDD,PC Mac mini Core i5 4GB 500GB 14GHz (MGEM2YP / A).,555.59,,0,1282,APP,Apple
APP0909,Apple Mac mini Core i5 14GHz | 8GB RAM | 500GB HDD,PC Mac Mini i5 14GHz 8GB 500GB (MGEM2YP / A).,675.59,,0,1282,APP,Apple
APP0910,Apple Mac mini Core i5 14GHz | 16GB RAM | 500GB HDD,PC Mac Mini i5 14GHz 16GB 500GB (MGEM2YP / A).,915.59,,0,1282,APP,Apple
APP0900,Apple Mac mini Core i5 26GHz | 8GB RAM | 1TB HDD,PC Mac mini Core i5 8GB 1TB 26GHz (MGEN2YP / A).,805.59,757.005,0,1282,APP,Apple
APP0911,Apple Mac mini Core i5 26GHz | 16GB RAM | 1TB HDD,PC Mac mini Core i5 26GHz 16GB 1TB (MGEN2YP / A).,1039.0,,0,1282,APP,Apple
APP1024,Apple Mac mini Core i5 26GHz | 16GB RAM | 1TB Fusion,PC Mac mini Core i5 1TB Fusion Drive 16GB 26GHz (MGEN2YP / A).,1279.0,,0,1282,APP,Apple
APP1026,Apple Mac mini Core i5 26GHz | 16GB RAM | 256GB Flash,PC Mac mini Core i5 26GHz flah 16GB 256GB (MGEN2YP / A).,1279.0,,0,1282,APP,Apple
APP0933,Apple Mac mini Core i7 3hz | 16GB RAM | 1TB HDD,PC Mac mini Core i7 3GHz 16GB 1TB (MGEN2YP / A).,1339.0,,0,1282,APP,Apple
APP1927,Apple Mac mini Core i7 3GHz | 8GB RAM | 1TB HDD (MGEN2YP / A),Apple desktop Mac mini Core i7 3GHz | 8GB RAM | 1TB HDD (MGEN2YP / A),1099.0,,1,1282,APP,Apple
APP0901,Apple Mac mini Core i5 28GHz | 8GB RAM | 1TB Fusion,PC Mac mini Core i5 28GHz 8GB 1TB Fusion Drive (MGEQ2YP / A).,1105.59,,0,1282,APP,Apple
APP0912,Apple Mac mini Core i5 28GHz | 16GB RAM | 1TB Fusion,PC Mac mini Core i5 1TB Fusion Drive 16GB 28GHz (MGEQ2YP / A).,1339.0,,0,1282,APP,Apple
APP1027,Apple Mac mini Core i5 28GHz | 16GB RAM | 2TB Fusion,PC Mac mini Core i5 28GHz Fusion Drive 16GB 2TB (MGEQ2YP / A.,1459.0,,0,1282,APP,Apple
APP1931,Apple Mac mini Core i7 3GHz | 8GB RAM | 1TB Fusion Drive (MGEQ2YP / A),Apple desktop Mac mini Core i7 3GHz | 8GB RAM | 1TB Fusion Drive (MGEQ2YP / A).,1339.0,,0,1282,APP,Apple
APP1932,Apple Mac mini Core i5 28GHz | 16GB RAM | 256GB Flash (MGEQ2YP / A),Apple desktop Mac mini Core i5 28GHz | 16GB RAM | 256GB Flash (MGEQ2YP / A).,1339.0,,0,1282,APP,Apple
APP1935,Apple Mac mini Core i5 28GHz | 8GB RAM | Fusion Drive 2TB (MGEQ2YP / A),Apple desktop Mac mini Core i5 28GHz | 8GB RAM | Fusion Drive 2TB (MGEQ2YP / A).,1219.0,,0,1282,APP,Apple
APP1936,Apple Mac mini Core i5 28GHz | 8GB RAM | 256GB Flash (MGEQ2YP / A),Apple desktop Mac mini Core i5 28GHz | 8GB RAM | 256GB Flash (MGEQ2YP / A).,1099.0,,0,1282,APP,Apple
APP1937,Apple Mac mini Core i5 28GHz | 8GB RAM | 512GB Flash (MGEQ2YP / A),Apple desktop Mac mini Core i5 28GHz | 8GB RAM | 512GB Flash (MGEQ2YP / A).,1339.0,,0,1282,APP,Apple
APP0864,Apple iPad Air 2 Wi-Fi 16GB Silver,New iPad Air 2 Wi-Fi 16GB (MGLW2TY / A).,429.0,,0,12141714,APP,Apple
APP0865,Apple iPad Air 2 Wi-Fi 16GB Dorado,New iPad Air 2 Wi-Fi 16GB (MH0W2TY / A).,429.0,,0,12141714,APP,Apple
APP0866,Apple iPad Air 2 Wi-Fi 64GB Space Gray,New iPad Air 2 Wi-Fi 64GB (MGKL2TY / A).,529.0,,0,12141714,APP,Apple
APP0867,Apple iPad Air 2 Wi-Fi 64GB Silver,New iPad Air 2 Wi-Fi 64GB (MGKM2TY / A).,529.0,,0,12141714,APP,Apple
APP0868,Apple iPad Air 2 64GB Wi-Fi Dorado,New iPad Air 2 Wi-Fi 64GB (MH182TY / A).,529.0,,0,12141714,APP,Apple
APP0878,Apple iPad Air 2 Wi-Fi + Cellular 128GB Space Gray,New iPad Air 2 Wi-Fi + Cellular 128GB (MGWL2TY / A).,659.0,,0,12141714,APP,Apple
APP0877,Apple iPad Air 2 Wi-Fi + Cellular 64GB Dorado,New iPad Air 2 Wi-Fi + Cellular 64GB (MH172TY / A).,649.0,623.997,0,12141714,APP,Apple
APP0876,Apple iPad Air 2 Wi-Fi + Cellular 64GB Silver,New iPad Air 2 Wi-Fi + Cellular 64GB (MGHY2TY / A).,649.0,623.997,0,12141714,APP,Apple
APP0875,Apple iPad Air 2 Wi-Fi + Cellular 64GB Space Gray,New iPad Air 2 Wi-Fi + Cellular 64GB (MGHX2TY / A).,649.0,623.997,0,12141714,APP,Apple
APP0874,Apple iPad Air 2 Wi-Fi + Cellular 16GB Dorado,New iPad Air 2 Wi-Fi + Cellular 16GB (MH1C2TY / A).,549.0,,0,12141714,APP,Apple
APP0873,Apple iPad Air 2 Wi-Fi + Cellular 16GB Silver,New iPad Air 2 Wi-Fi + Cellular 16GB (MGH72TY / A).,549.0,,0,12141714,APP,Apple
APP0872,Apple iPad Air 2 Wi-Fi + Cellular 16GB Space Gray,New iPad Air 2 Wi-Fi + Cellular 16GB (MGGX2TY / A).,549.0,,0,12141714,APP,Apple
APP0915,Apple Smart Case iPad Air 2 Case Soft Pink,Smart Leather Case for iPad Air 2.,89.0,888.999,0,12635403,APP,Apple
APP0916,Apple Smart Cover iPad Air 2 Case Black,Smart Leather Case for iPad Air 2.,89.0,74.0,0,12635403,APP,Apple
APP0917,Apple Smart Case iPad Air Case 2 Red,Smart Leather Case for iPad Air 2.,89.0,890.003,0,12635403,APP,Apple
APP0927,EarPods Apple Headphones with Remote and Mic (OEM),EarPods headphones Apple iPhone iPad and iPod with microphone and remote control,35.0,13.99,1,5384,APP,Apple
APP0934,"Apple MacBook Air 11 ""i5 16 Ghz | 4GB RAM | 128GB Flash",laptop MacBook Air 11 inches 16GHz 128GB (MJVM2Y / A).,999.0,,0,1282,APP,Apple
APP0935,"Apple MacBook Air 11 ""i5 16 Ghz | 8GB RAM | 128GB Flash",laptop MacBook Air 11 inch i5 8GB RAM 128GB Flash (MJVM2Y / A).,1119.0,,0,1282,APP,Apple
APP0936,"Apple MacBook Air 11 ""i7 22 Ghz | 4GB RAM | 128GB Flash",Laptop MacBook Air 11-inch i7 22 Ghz 128GB Flash (MJVM2Y / A).,1119.0,,0,1282,APP,Apple
APP0937,"Apple MacBook Air 11 ""i7 22 Ghz | 8GB RAM | 128GB Flash",laptop MacBook Air 11 inch i7 22GHz 8GB RAM 128GB Flash (MJVM2Y / A).,1239.0,,0,1282,APP,Apple
APP0938,"Apple MacBook Air 11 ""i5 16 Ghz | 4GB RAM | 256GB Flash",laptop MacBook Air 11 inch i5 16GHz 4GB 256GB Flash RAM (MJVP2Y / A).,1249.0,,0,1282,APP,Apple
APP0942,"Apple MacBook Air 11 ""i7 22 Ghz | 4GB RAM | 256GB Flash",laptop MacBook Air 11 inch i7 22GHz 4GB 256GB Flash RAM (MJVP2Y / A) with extended processor.,1369.0,,0,1282,APP,Apple
APP0943,"Apple MacBook Air 11 ""i7 22 Ghz | 8GB RAM | 256GB Flash",laptop MacBook Air 11 inch i7 22GHz 8GB RAM 256GB Flash (MJVP2Y / A) with processor and RAM expansion.,1489.0,,0,1282,APP,Apple
APP0939,"Apple MacBook Air 11 ""i5 16 Ghz | 8GB RAM | 256GB Flash",laptop MacBook Air 11 inch i5 16 Ghz 8GB RAM 256GB Flash (MJVP2Y / A).,1369.0,,0,1282,APP,Apple
APP0958,"Apple MacBook Pro Retina 13 ""i5 27 Ghz | 8GB RAM | 128GB Flash",New MacBook Pro 13-inch Retina screen i5 128GB RAM 8GB Flash 27GHz (MF839Y / A).,1449.0,1305.59,0,1282,APP,Apple
APP0948,"Apple MacBook Air 13 ""i7 22 Ghz | 4GB RAM | 128GB Flash",laptop MacBook Air 13 inch i7 22GHz 4GB 128GB Flash RAM (MJVE2Y / A).,1219.0,,0,1282,APP,Apple
APP0946,"Apple MacBook Air 13 ""i5 16 Ghz | 4GB RAM | 128GB Flash",laptop MacBook Air 13 inch i5 16GHz 4GB 128GB Flash RAM (MJVE2Y / A).,1099.0,999.99,0,1282,APP,Apple
APP0949,"Apple MacBook Air 13 ""i7 22 Ghz | 8GB RAM | 128GB Flash",laptop MacBook Air 13 inch i7 22GHz 8GB RAM 128GB Flash (MJVE2Y / A).,1339.0,,0,1282,APP,Apple
APP0947,"Apple MacBook Air 13 ""i5 16 Ghz | 8GB RAM | 128GB Flash",laptop MacBook Air 13 inch i5 16GHz 8GB RAM 128GB Flash (MJVE2Y / A).,1219.0,,0,1282,APP,Apple
APP0950,"Apple MacBook Air 13 ""i5 16 Ghz | 4GB RAM | 256GB Flash",laptop MacBook Air 13 inch i5 16GHz 4GB 256GB Flash RAM (MJVG2Y / A).,1349.0,,0,1282,APP,Apple
APP0951,"Apple MacBook Air 13 ""i5 16 Ghz | 8GB RAM | 256GB Flash",laptop MacBook Air 13 inch i5 16GHz 8GB RAM 256GB Flash (MJVG2Y / A).,1469.0,,0,1282,APP,Apple
APP0954,"Apple MacBook Air 13 ""i7 22 Ghz | 4GB RAM | 256GB Flash",laptop MacBook Air 13 inch i7 22GHz 4GB 256GB Flash RAM (MJVG2Y / A).,1469.0,,0,1282,APP,Apple
APP0980,"Apple MacBook 12 ""Core M 11GHz | 8GB RAM | 256GB Flash Space Gray",New MacBook Retina 12-inch screen 8GB RAM 256GB 11GHz Flash.,1449.0,,0,1282,APP,Apple
APP0981,"Apple MacBook 12 ""Core M 11GHz | 8GB RAM | 256GB Flash Gold",New MacBook Retina 12-inch screen 8GB RAM 256GB 11GHz Flash.,1449.0,,0,1282,APP,Apple
APP0772,Apple Mac Cable Lock Pro,Security Lock adapter for Mac Pro.,49.0,49.005,0,1325,APP,Apple
APP1014,Lightning White Apple iPhone Dock,Stand with Lightning Dock Connector and iPhone in White.,45.0,420.003,0,13615399,APP,Apple
APP0699,"60W MagSafe 2 Apple MacBook Pro Retina display Charger 13 ""(OEM)",Apple MagSafe Power Charger 2 60W for MacBook Pro Retina 13 inches without original box,89.0,649.903,1,13005399,APP,Apple
APP0700,"Apple 85W MagSafe 2 charger MacBook Pro screen Retina 15 ""(OEM)",Apple MagSafe 2 Charger for MacBook Pro 15-inch Retina 85W unboxed,89.0,649.903,1,13005399,APP,Apple
APP0701, Apple 45W MagSafe 2 charger MacBook Air in June 2012 (OEM),Apple charger MacBook Air MagSafe 2 45W without original box,89.0,649.903,1,13005399,APP,Apple
APP1045,Apple USB-C to USB,USB-C USB adapter for MacBook.,25.0,240.004,1,12585395,APP,Apple
APP1043,Apple USB-C Multiport Digital AV Adapter,C USB-HDMI adapter for MacBook high resolution.,79.0,749.994,1,12585395,APP,Apple
APP1020,IPad AppleCare Protection Plan,Apple Care extended warranty for iPad.,79.0,690.003,1,1231,APP,Apple
APP1097,Apple iPod Nano 16Gb Silver,Music player iPod nano 16GB silver the 8th generation.,179.0,,0,11821715,APP,Apple
APP1082,Apple iPod Touch 16GB Silver,New 6th generation iPod Touch 16GB with 8 megapixel camera.,229.0,,0,11821715,APP,Apple
APP1019,Apple security lock adapter for the Mac Pro,Adapter Cable for Mac Pro padlock (end of 2013).,59.0,56.0,0,11434,APP,Apple
APP1085,Apple iPod Touch 16GB Gold,New 6th generation iPod Touch 16GB with 8 megapixel camera.,229.0,,0,11821715,APP,Apple
APP0985,OEM 5W USB Power Adapter iPhone iPod and compatible Apple iPod,OEM USB Power Adapter 5W 1A for iPhone iPad and iPod,25.0,169.896,1,14365395,APP,Apple
APP1044,Apple USB-C to Multiport VGA,USB-C VGA adapter for MacBook.,79.0,749.994,0,12585395,APP,Apple
APP1046,Apple USB Power Adapter-C 29 W,Adapter to any device compatible with USB-C,59.0,56.0,0,12585395,APP,Apple
APP1047,Apple charging cable 2m USB-C,USB-C Cable 2 meters MacBook.,25.0,240.004,1,1325,APP,Apple
APP1048,Apple extension cable for power adapter,Extension cable for power adapter (MK122Z / A),25.0,240.004,0,1325,APP,Apple
APP1089,Apple iPod Touch 32GB Space Gray,New 6th generation iPod Touch 32GB with 8 megapixel camera.,232.81,,0,11821715,APP,Apple
APP1098,Apple iPod Nano 16Gb Gold,Music player iPod Nano 16GB the 8th generation Oro.,179.0,,0,11821715,APP,Apple
APP1088,Apple iPod Touch 16GB Space Gray,New 6th generation iPod Touch 16GB with 8 megapixel camera.,229.0,,0,11821715,APP,Apple
APP1091,Apple iPod Touch 16GB Rosa,New 6th generation iPod Touch 16GB with 8 megapixel camera.,229.0,,0,11821715,APP,Apple
APP1094,Apple iPod Touch 16GB Blue,New 6th generation iPod Touch 16GB with 8 megapixel camera.,229.0,,0,11821715,APP,Apple
APP1083,Apple iPod Touch 32GB Silver,New 6th generation iPod Touch 32GB with 8 megapixel camera.,232.81,,0,11821715,APP,Apple
APP1086,Apple iPod Touch 32GB Gold,New 6th generation iPod Touch 32GB with 8 megapixel camera.,232.81,,0,11821715,APP,Apple
APP1092,Apple iPod Touch 32GB Rosa,New 6th generation iPod Touch 32GB with 8 megapixel camera.,232.81,,0,11821715,APP,Apple
APP1095,Apple iPod Touch 32GB Blue,New 6th generation iPod Touch 32GB with 8 megapixel camera.,232.81,,0,11821715,APP,Apple
